Risk Category,Risk Sub-Category,Discovery Date,Occurrence Start Date,Year,Net Loss,Recovery Amount,Estimated Gross Loss,Recovery Amount (percent)
"Execution, Delivery and Process Management",Trade Counterparties,43541,43542,2019,55069.05,12665.8815,64100,23
"Execution, Delivery and Process Management",Reporting and Disclosure,43542,43545,2019,213926.29,72734.9386,217100,34
"Execution, Delivery and Process Management",Trade Counterparties,43543,43544,2019,829525.21,315219.5798,822200,38
External Fraud,Theft and Fraud,43543,43544,2019,873493.28,349397.312,870000,40
External Fraud,Theft and Fraud,43543,43546,2019,2036.45,529.477,1800,26
External Fraud,Theft and Fraud,43545,43547,2019,108793.96,42429.6444,116800,39
External Fraud,Systems Security,43546,43547,2019,155223.47,48119.2757,167500,31
Internal Fraud,Theft and Fraud,43548,43551,2019,177846.63,40904.7249,177400,23
Damage to Physical Assets,Willful Damage,43550,43551,2019,216329.58,67062.1698,217000,31
External Fraud,Theft and Fraud,43551,43552,2019,168323.69,53863.5808,171900,32
External Fraud,Systems Security,43551,43552,2019,30237.74,6047.548,45200,20
Business Disruption and System Failures,Infrastructure and Systems,43551,43554,2019,831009.04,324093.5256,830700,39
"Clients, Products and Business Practices","Suitability, Disclosures and Fiduciary",43552,43553,2019,289406.92,101292.422,282000,35
"Execution, Delivery and Process Management",Reporting and Disclosure,43554,43557,2019,1135.18,442.7202,17200,39
Employment Practices and Workplace Safety,Safe Environment,43554,43555,2019,149300.56,49269.1848,158600,33
"Execution, Delivery and Process Management",Customer Intake and Documentation,43555,43558,2019,272963.17,60051.8974,279600,22
"Execution, Delivery and Process Management",Reporting and Disclosure,43555,43558,2019,922711.24,258359.1472,920200,28
Employment Practices and Workplace Safety,Safe Environment,43555,43558,2019,110366.69,27591.6725,118100,25
"Execution, Delivery and Process Management",Trade Counterparties,43556,43558,2019,568759.31,193378.1654,565600,34
Employment Practices and Workplace Safety,Diversity and Discrimination,43558,43560,2019,361967.88,79632.9336,361100,22
"Execution, Delivery and Process Management",Vendors and Suppliers,43559,43561,2019,543720.12,97869.6216,545000,18
Internal Fraud,Theft and Fraud,43559,43562,2019,41145.53,14812.3908,44700,36
External Fraud,Theft and Fraud,43562,43565,2019,10607.31,4242.924,7100,40
"Execution, Delivery and Process Management",Reporting and Disclosure,43563,43566,2019,945.28,217.4144,-3100,23
External Fraud,Theft and Fraud,43564,43567,2019,12938.16,3105.1584,23400,24
"Clients, Products and Business Practices",Improper Business or Market Practices,43564,43566,2019,50105.76,10522.2096,53300,21
"Execution, Delivery and Process Management",Customer/Client Account Management,43565,43566,2019,838866.39,268437.2448,847800,32
Employment Practices and Workplace Safety,Safe Environment,43566,43569,2019,271150.26,73210.5702,276000,27
External Fraud,Systems Security,43567,43569,2019,75050.41,28519.1558,70400,38
External Fraud,Theft and Fraud,43569,43570,2019,178691,67902.58,185500,38
External Fraud,Theft and Fraud,43569,43570,2019,210266.6,84106.64,207300,40
"Execution, Delivery and Process Management",Reporting and Disclosure,43570,43573,2019,2167.12,476.7664,3300,22
External Fraud,Theft and Fraud,43570,43573,2019,253492.97,81117.7504,252300,32
"Execution, Delivery and Process Management",Trade Counterparties,43571,43572,2019,513815.64,154144.692,515400,30
"Clients, Products and Business Practices",Product Flaws,43572,43574,2019,8794621.61,2726332.699,8812600,31
External Fraud,Systems Security,43574,43577,2019,32685.88,12420.6344,45100,38
Employment Practices and Workplace Safety,Employee Relations,43574,43577,2019,6724.76,2084.6756,18500,31
External Fraud,Theft and Fraud,43576,43579,2019,177517.17,37278.6057,170900,21
External Fraud,Systems Security,43578,43579,2019,161360.77,40340.1925,172900,25
"Execution, Delivery and Process Management",Transaction/Data Management,43580,43583,2019,63319.49,12663.898,67500,20
"Execution, Delivery and Process Management",Vendors and Suppliers,43581,43582,2019,179915.56,37782.2676,173100,21
"Clients, Products and Business Practices","Suitability, Disclosures and Fiduciary",43581,43584,2019,595338.09,125020.9989,610000,21
External Fraud,Theft and Fraud,43581,43584,2019,256739.98,100128.5922,265900,39
"Execution, Delivery and Process Management",Customer/Client Account Management,43584,43585,2019,147547.25,51641.5375,152900,35
Employment Practices and Workplace Safety,Diversity and Discrimination,43584,43586,2019,262531.3,78759.39,265900,30
External Fraud,Theft and Fraud,43584,43586,2019,95698.77,29666.6187,106200,31
"Execution, Delivery and Process Management",Vendors and Suppliers,43584,43587,2019,114956.61,26440.0203,112500,23
Employment Practices and Workplace Safety,Diversity and Discrimination,43586,43588,2019,321.69,99.7239,3300,31
External Fraud,Theft and Fraud,43587,43589,2019,34288.11,13372.3629,47800,39
"Execution, Delivery and Process Management",Customer Intake and Documentation,43588,43589,2019,743480.85,208174.638,746300,28
"Execution, Delivery and Process Management",Trade Counterparties,43589,43590,2019,57531,11506.2,56600,20
"Clients, Products and Business Practices",Improper Business or Market Practices,43590,43593,2019,64895.94,22713.579,76600,35
"Execution, Delivery and Process Management",Customer/Client Account Management,43590,43593,2019,108387.05,42270.9495,122700,39
External Fraud,Systems Security,43592,43589,2019,50000,14000,50000,28
"Execution, Delivery and Process Management",Customer Intake and Documentation,43592,43595,2019,148454.47,38598.1622,153700,26
"Execution, Delivery and Process Management",Transaction/Data Management,43593,43594,2019,135955.59,32629.3416,136600,24
"Execution, Delivery and Process Management",Transaction/Data Management,43594,43596,2019,795652.73,167087.0733,796200,21
"Execution, Delivery and Process Management",Trade Counterparties,43595,43596,2019,225086.88,78780.408,232200,35
Employment Practices and Workplace Safety,Employee Relations,43596,43599,2019,296737.95,80119.2465,307300,27
"Execution, Delivery and Process Management",Reporting and Disclosure,43598,43601,2019,1004634.98,291344.1442,1018100,29
External Fraud,Systems Security,43598,43601,2019,213941.7,42788.34,225500,20
External Fraud,Theft and Fraud,43601,43602,2019,146510.97,45418.4007,155100,31
"Execution, Delivery and Process Management",Customer Intake and Documentation,43602,43604,2019,35013.31,10153.8599,45500,29
"Execution, Delivery and Process Management",Trade Counterparties,43602,43605,2019,184819.7,42508.531,187800,23
"Execution, Delivery and Process Management",Reporting and Disclosure,43602,43604,2019,126148.66,34060.1382,119100,27
External Fraud,Theft and Fraud,43603,43606,2019,68519.28,22611.3624,78700,33
External Fraud,Theft and Fraud,43603,43606,2019,70640.15,21898.4465,72800,31
External Fraud,Theft and Fraud,43605,43608,2019,65956.71,17148.7446,62200,26
External Fraud,Theft and Fraud,43605,43606,2019,211757.16,48704.1468,227900,23
"Execution, Delivery and Process Management",Trade Counterparties,43606,43607,2019,13081.46,3662.8088,20700,28
"Execution, Delivery and Process Management",Trade Counterparties,43607,43608,2019,600557.65,150139.4125,592200,25
External Fraud,Systems Security,43607,43610,2019,86956.8,23478.336,96500,27
"Execution, Delivery and Process Management",Reporting and Disclosure,43610,43611,2019,555600.85,116676.1785,566500,21
External Fraud,Theft and Fraud,43611,43614,2019,109822.27,30750.2356,104500,28
External Fraud,Systems Security,43612,43613,2019,144115.13,51881.4468,157600,36
"Execution, Delivery and Process Management",Reporting and Disclosure,43612,43614,2019,721806.24,230977.9968,731200,32
"Execution, Delivery and Process Management",Trade Counterparties,43614,43615,2019,287445.09,83359.0761,291100,29
External Fraud,Theft and Fraud,43614,43616,2019,65064.49,18218.0572,71800,28
External Fraud,Theft and Fraud,43615,43617,2019,3650.85,1022.238,3600,28
External Fraud,Theft and Fraud,43616,43619,2019,225098.79,78784.5765,230300,35
Business Disruption and System Failures,Infrastructure and Systems,43619,43620,2019,116808.68,24529.8228,110000,21
External Fraud,Theft and Fraud,43619,43622,2019,195605.57,48901.3925,188000,25
External Fraud,Theft and Fraud,43620,43623,2019,123889.75,38405.8225,132900,31
External Fraud,Theft and Fraud,43620,43620,2019,1280000,396800,1075000,31
Internal Fraud,Theft and Fraud,43620,41733,2014,650000,130000,700000,20
"Clients, Products and Business Practices",Advisory Activities,43620,43623,2019,168838.17,48963.0693,174500,29
External Fraud,Theft and Fraud,43623,43620,2019,50000,14000,50000,28
External Fraud,Theft and Fraud,43623,43625,2019,13827.76,2765.552,10900,20
Internal Fraud,Theft and Fraud,43624,43626,2019,95970.71,22073.2633,99600,23
External Fraud,Systems Security,43625,43628,2019,107396.11,34366.7552,104200,32
"Execution, Delivery and Process Management",Reporting and Disclosure,43626,43629,2019,685481.93,274192.772,690800,40
Employment Practices and Workplace Safety,Safe Environment,43627,43630,2019,231200.55,87856.209,236600,38
Employment Practices and Workplace Safety,Safe Environment,43627,43630,2019,202825.8,68960.772,209200,34
Internal Fraud,Unauthorized Activity,43628,43629,2019,19572.92,7829.168,15600,40
"Execution, Delivery and Process Management",Reporting and Disclosure,43632,43635,2019,73153.13,25603.5955,82600,35
External Fraud,Theft and Fraud,43632,43635,2019,99452.9,35803.044,107100,36
"Execution, Delivery and Process Management",Reporting and Disclosure,43632,43635,2019,227467.15,79613.5025,235000,35
Business Disruption and System Failures,Infrastructure and Systems,43634,43635,2019,525675.09,152445.7761,543800,29
External Fraud,Theft and Fraud,43634,43637,2019,146405.15,43921.545,144000,30
"Execution, Delivery and Process Management",Customer Intake and Documentation,43634,43637,2019,383986.65,92156.796,388900,24
"Execution, Delivery and Process Management",Customer Intake and Documentation,43634,43636,2019,25432.15,6358.0375,25200,25
External Fraud,Systems Security,43636,43637,2019,277132.24,91453.6392,275100,33
"Execution, Delivery and Process Management",Trade Counterparties,43637,43640,2019,884227.14,344848.5846,896700,39
External Fraud,Theft and Fraud,43638,43641,2019,184224.9,58951.968,185900,32
"Execution, Delivery and Process Management",Reporting and Disclosure,43639,43641,2019,757786.51,287958.8738,765200,38
"Execution, Delivery and Process Management",Reporting and Disclosure,43640,43643,2019,61592.27,18477.681,79000,30
External Fraud,Theft and Fraud,43640,43642,2019,29700.74,11583.2886,28600,39
External Fraud,Systems Security,43641,43643,2019,897807.74,260364.2446,889900,29
"Clients, Products and Business Practices","Selection, Sponsorship and Exposure",43642,43645,2019,210401.98,69432.6534,215300,33
"Clients, Products and Business Practices",Product Flaws,43643,43646,2019,72859.67,29143.868,80100,40
External Fraud,Systems Security,43643,43644,2019,121226.73,41217.0882,128000,34
"Execution, Delivery and Process Management",Trade Counterparties,43644,43647,2019,720680.22,172963.2528,711700,24
External Fraud,Theft and Fraud,43645,43647,2019,54857,18651.38,63800,34
External Fraud,Theft and Fraud,43645,43648,2019,91614.04,35729.4756,94600,39
"Execution, Delivery and Process Management",Reporting and Disclosure,43646,43647,2019,237811.88,64209.2076,233200,27
"Execution, Delivery and Process Management",Reporting and Disclosure,43646,43647,2019,271216.77,54243.354,279200,20
"Execution, Delivery and Process Management",Vendors and Suppliers,43647,43648,2019,11687858.52,3038843.215,11698000,26
"Execution, Delivery and Process Management",Customer Intake and Documentation,43647,43649,2019,976492.6,341772.41,977200,35
External Fraud,Theft and Fraud,43647,43649,2019,166892.05,63418.979,173200,38
"Execution, Delivery and Process Management",Vendors and Suppliers,43648,43649,2019,563874.57,174801.1167,567000,31
"Execution, Delivery and Process Management",Customer/Client Account Management,43649,43652,2019,376994.01,150797.604,372300,40
External Fraud,Theft and Fraud,43649,43652,2019,240012.59,67203.5252,248500,28
Internal Fraud,Theft and Fraud,43650,43651,2019,75647.76,17398.9848,70700,23
"Execution, Delivery and Process Management",Reporting and Disclosure,43650,43653,2019,139807.02,51728.5974,149700,37
"Clients, Products and Business Practices",Product Flaws,43651,43654,2019,171829.53,48112.2684,186200,28
"Execution, Delivery and Process Management",Trade Counterparties,43651,43653,2019,69115.78,26955.1542,70100,39
External Fraud,Systems Security,43653,43650,2019,1000000,260000,1000000,26
"Execution, Delivery and Process Management",Vendors and Suppliers,43654,43655,2019,269621.58,45835.6686,276400,17
"Execution, Delivery and Process Management",Customer/Client Account Management,43654,43657,2019,194017.32,62085.5424,188200,32
"Execution, Delivery and Process Management",Transaction/Data Management,43656,43659,2019,8514.84,3405.936,23400,40
"Execution, Delivery and Process Management",Transaction/Data Management,43656,43657,2019,592944.94,201601.2796,589200,34
External Fraud,Theft and Fraud,43656,43659,2019,120593.47,26530.5634,118700,22
"Execution, Delivery and Process Management",Customer Intake and Documentation,43656,43659,2019,11385645.95,3757263.164,11398000,33
External Fraud,Theft and Fraud,43657,43660,2019,178015.5,37383.255,195400,21
"Execution, Delivery and Process Management",Customer/Client Account Management,43658,43661,2019,217533.38,52208.0112,214800,24
Internal Fraud,Unauthorized Activity,43658,43659,2019,164368.22,65747.288,171900,40
External Fraud,Theft and Fraud,43659,43661,2019,3986,1155.94,2200,29
External Fraud,Theft and Fraud,43660,43662,2019,262083.99,73383.5172,256100,28
External Fraud,Systems Security,43661,43664,2019,203647.28,46838.8744,211400,23
Employment Practices and Workplace Safety,Employee Relations,43661,43664,2019,271735.02,89672.5566,285900,33
External Fraud,Systems Security,43661,43664,2019,196246.03,56911.3487,202800,29
"Execution, Delivery and Process Management",Transaction/Data Management,43664,43667,2019,10893.53,2505.5119,17900,23
"Execution, Delivery and Process Management",Customer Intake and Documentation,43665,43668,2019,24243.71,5333.6162,25000,22
External Fraud,Theft and Fraud,43665,43666,2019,267792.78,74981.9784,268400,28
External Fraud,Systems Security,43667,43670,2019,93672.13,33721.9668,106700,36
"Execution, Delivery and Process Management",Trade Counterparties,43667,43670,2019,85857.51,32625.8538,86700,38
External Fraud,Theft and Fraud,43668,43671,2019,11650.87,4660.348,26600,40
External Fraud,Theft and Fraud,43668,43671,2019,204456.09,53158.5834,206600,26
"Execution, Delivery and Process Management",Reporting and Disclosure,43668,43671,2019,216383.13,58423.4451,220600,27
External Fraud,Theft and Fraud,43669,43672,2019,178936.27,48312.7929,173900,27
External Fraud,Theft and Fraud,43670,43671,2019,433502.01,173400.804,442200,40
"Execution, Delivery and Process Management",Trade Counterparties,43671,43672,2019,189348.38,37869.676,204300,20
External Fraud,Theft and Fraud,43672,43673,2019,158300.86,55405.301,150900,35
"Execution, Delivery and Process Management",Customer Intake and Documentation,43673,43675,2019,78578.91,18073.1493,78500,23
"Execution, Delivery and Process Management",Trade Counterparties,43675,43676,2019,104665.64,27213.0664,114500,26
Internal Fraud,Theft and Fraud,43676,43679,2019,17361.42,4861.1976,25800,28
External Fraud,Theft and Fraud,43676,43678,2019,240462.5,81757.25,251600,34
Employment Practices and Workplace Safety,Diversity and Discrimination,43677,43679,2019,91879.89,23888.7714,88300,26
External Fraud,Theft and Fraud,43679,43682,2019,6415.88,2181.3992,8600,34
"Execution, Delivery and Process Management",Reporting and Disclosure,43681,43684,2019,33925.01,10177.503,44900,30
External Fraud,Theft and Fraud,43684,43681,2019,250000,55000,250000,22
"Clients, Products and Business Practices",Improper Business or Market Practices,43684,43684,2019,1000000,270000,3000000,27
External Fraud,Theft and Fraud,43685,43686,2019,72035.07,14407.014,80700,20
"Execution, Delivery and Process Management",Reporting and Disclosure,43685,43688,2019,1046916.05,230321.531,1038100,22
Employment Practices and Workplace Safety,Diversity and Discrimination,43687,43690,2019,603680.85,187141.0635,603200,31
External Fraud,Theft and Fraud,43687,43688,2019,203358.91,54906.9057,210100,27
External Fraud,Systems Security,43690,43692,2019,26938.34,7003.9684,24600,26
External Fraud,Theft and Fraud,43694,43695,2019,219564.82,59282.5014,231200,27
External Fraud,Theft and Fraud,43694,43697,2019,167003.26,60121.1736,173700,36
External Fraud,Systems Security,43695,43696,2019,253566.8,96355.384,261200,38
External Fraud,Theft and Fraud,43695,43696,2019,202554.81,76970.8278,214600,38
"Execution, Delivery and Process Management",Trade Counterparties,43703,43704,2019,163232.76,52234.4832,165100,32
"Clients, Products and Business Practices",Advisory Activities,43708,43709,2019,124949.26,34985.7928,140200,28
Business Disruption and System Failures,Infrastructure and Systems,43709,43710,2019,35412.96,13811.0544,49100,39
"Execution, Delivery and Process Management",Reporting and Disclosure,43709,43712,2019,439280.1,118605.627,437700,27
External Fraud,Systems Security,43710,43712,2019,174257.17,55762.2944,182900,32
External Fraud,Theft and Fraud,43710,43713,2019,95850.34,22045.5782,111500,23
"Execution, Delivery and Process Management",Trade Counterparties,43711,43712,2019,87001.93,18270.4053,103000,21
External Fraud,Systems Security,43711,43714,2019,98438.36,33469.0424,102000,34
External Fraud,Theft and Fraud,43711,43713,2019,12382.63,3467.1364,19100,28
External Fraud,Theft and Fraud,43713,43714,2019,271498.03,54299.606,269600,20
External Fraud,Theft and Fraud,43713,43716,2019,213730.3,55569.878,209200,26
External Fraud,Theft and Fraud,43714,43717,2019,144586.99,47713.7067,145400,33
External Fraud,Theft and Fraud,43715,43712,2019,200000,66000,200000,33
"Execution, Delivery and Process Management",Reporting and Disclosure,43715,43716,2019,423836.78,84767.356,424500,20
External Fraud,Theft and Fraud,43717,43720,2019,80039.35,18409.0505,96700,23
Employment Practices and Workplace Safety,Safe Environment,43717,43720,2019,117283.68,46913.472,126200,40
External Fraud,Systems Security,43718,43719,2019,264711.35,55589.3835,269300,21
External Fraud,Theft and Fraud,43720,43721,2019,163717.28,49115.184,167600,30
External Fraud,Systems Security,43723,43726,2019,373422.86,85887.2578,384600,23
External Fraud,Theft and Fraud,43723,43725,2019,165618.94,49685.682,175000,30
"Execution, Delivery and Process Management",Reporting and Disclosure,43724,43725,2019,285400.85,88474.2635,295400,31
External Fraud,Theft and Fraud,43724,43725,2019,93295.99,33586.5564,99400,36
Damage to Physical Assets,Disaster and other events,43724,43727,2019,130746.45,43146.3285,131800,33
"Clients, Products and Business Practices","Suitability, Disclosures and Fiduciary",43725,43727,2019,866020.91,311767.5276,859700,36
"Execution, Delivery and Process Management",Reporting and Disclosure,43725,43728,2019,308084.98,61616.996,312100,20
External Fraud,Systems Security,43725,43726,2019,807358.9,266428.437,821500,33
External Fraud,Theft and Fraud,43726,43729,2019,12413.33,2730.9326,15600,22
External Fraud,Theft and Fraud,43727,43730,2019,56108.06,17954.5792,58800,32
External Fraud,Theft and Fraud,43728,43729,2019,244942.68,88179.3648,256400,36
Employment Practices and Workplace Safety,Employee Relations,43728,43731,2019,178655.56,44663.89,187700,25
"Execution, Delivery and Process Management",Customer Intake and Documentation,43729,43730,2019,673749.81,222337.4373,671200,33
External Fraud,Theft and Fraud,43731,43734,2019,139471.8,37657.386,144100,27
"Execution, Delivery and Process Management",Customer Intake and Documentation,43732,43733,2019,632562.6,132838.146,640900,21
External Fraud,Theft and Fraud,43733,43736,2019,90963.65,24560.1855,106300,27
Internal Fraud,Theft and Fraud,43735,43737,2019,82756.78,20689.195,97900,25
"Execution, Delivery and Process Management",Trade Counterparties,43737,43740,2019,639025.71,230049.2556,635200,36
"Execution, Delivery and Process Management",Reporting and Disclosure,43740,43741,2019,963078.74,192615.748,959300,20
External Fraud,Systems Security,43742,43744,2019,243101.65,94809.6435,243100,39
External Fraud,Theft and Fraud,43742,43745,2019,21095.02,4219.004,27400,20
Employment Practices and Workplace Safety,Safe Environment,43742,43743,2019,176254.87,42301.1688,188600,24
External Fraud,Theft and Fraud,43744,43746,2019,67345.59,20203.677,78900,30
External Fraud,Theft and Fraud,43745,43746,2019,344640.16,134409.6624,339700,39
External Fraud,Systems Security,43745,43748,2019,251469.94,95558.5772,263400,38
"Execution, Delivery and Process Management",Customer Intake and Documentation,43745,43681,2019,1000000,260000,1000000,26
Business Disruption and System Failures,Infrastructure and Systems,43745,43742,2019,100000,24000,3000000,24
"Execution, Delivery and Process Management",Customer/Client Account Management,43745,43745,2019,1700000,408000,1700000,24
External Fraud,Theft and Fraud,43746,43749,2019,257339.87,61761.5688,266400,24
External Fraud,Theft and Fraud,43747,43748,2019,176588.19,51210.5751,184700,29
"Clients, Products and Business Practices","Selection, Sponsorship and Exposure",43747,43750,2019,242433.37,75154.3447,247800,31
"Execution, Delivery and Process Management",Trade Counterparties,43748,43751,2019,122852.65,49141.06,119700,40
"Execution, Delivery and Process Management",Reporting and Disclosure,43750,43753,2019,394591.93,78918.386,386200,20
External Fraud,Theft and Fraud,43753,43756,2019,99838.03,25957.8878,101900,26
"Execution, Delivery and Process Management",Vendors and Suppliers,43756,43758,2019,1041508.13,229131.7886,1056400,22
External Fraud,Systems Security,43757,43758,2019,226975.79,74902.0107,223900,33
"Execution, Delivery and Process Management",Reporting and Disclosure,43757,43760,2019,45684.72,13705.416,51000,30
External Fraud,Theft and Fraud,43758,43759,2019,269574.1,56610.561,282300,21
"Execution, Delivery and Process Management",Trade Counterparties,43758,43759,2019,1024163.2,409665.28,1025200,40
"Clients, Products and Business Practices",Improper Business or Market Practices,43761,43764,2019,278250.07,75127.5189,274500,27
"Execution, Delivery and Process Management",Reporting and Disclosure,43764,43765,2019,252185.49,83221.2117,255100,33
External Fraud,Theft and Fraud,43765,43767,2019,109901.91,35168.6112,108100,32
"Clients, Products and Business Practices",Product Flaws,43766,43767,2019,67440.61,24278.6196,65300,36
External Fraud,Theft and Fraud,43766,43769,2019,170794.48,47822.4544,177000,28
"Execution, Delivery and Process Management",Vendors and Suppliers,43767,43770,2019,750327.81,187581.9525,760300,25
"Execution, Delivery and Process Management",Customer/Client Account Management,43769,43771,2019,561737.86,140434.465,561800,25
"Clients, Products and Business Practices",Improper Business or Market Practices,43769,43770,2019,268043.98,72371.8746,275200,27
External Fraud,Theft and Fraud,43769,43771,2019,18734.42,4308.9166,36600,23
"Execution, Delivery and Process Management",Customer Intake and Documentation,43770,43771,2019,135080.96,35121.0496,141100,26
External Fraud,Systems Security,43771,43774,2019,30978.32,8673.9296,32200,28
"Clients, Products and Business Practices",Advisory Activities,43771,43772,2019,329053.88,65810.776,338100,20
"Execution, Delivery and Process Management",Transaction/Data Management,43772,43775,2019,734047.12,146809.424,731700,20
External Fraud,Theft and Fraud,43773,43776,2019,154373.74,40137.1724,160600,26
External Fraud,Theft and Fraud,43774,43777,2019,196898.56,53162.6112,193400,27
"Clients, Products and Business Practices",Product Flaws,43775,43778,2019,295581.72,85718.6988,305500,29
External Fraud,Systems Security,43775,43777,2019,162310.79,42200.8054,156900,26
"Execution, Delivery and Process Management",Customer/Client Account Management,43777,43778,2019,12498.1,2749.582,16800,22
External Fraud,Systems Security,43777,43780,2019,191879.92,76751.968,188300,40
"Execution, Delivery and Process Management",Trade Counterparties,43777,43780,2019,918660.72,220478.5728,929900,24
"Execution, Delivery and Process Management",Reporting and Disclosure,43780,43781,2019,84870.68,25461.204,103200,30
"Execution, Delivery and Process Management",Transaction/Data Management,43780,43783,2019,913291.6,255721.648,910300,28
External Fraud,Theft and Fraud,43783,43785,2019,224606.8,56151.7,218600,25
"Execution, Delivery and Process Management",Customer Intake and Documentation,43784,43787,2019,140156.43,54661.0077,141600,39
"Execution, Delivery and Process Management",Vendors and Suppliers,43784,43786,2019,952743.86,257240.8422,952800,27
External Fraud,Theft and Fraud,43784,43786,2019,170323.48,68129.392,163600,40
Employment Practices and Workplace Safety,Employee Relations,43784,43785,2019,18952.97,4738.2425,27600,25
"Execution, Delivery and Process Management",Customer/Client Account Management,43785,43788,2019,158330.78,55415.773,163400,35
"Execution, Delivery and Process Management",Customer Intake and Documentation,43786,43789,2019,256177.92,84538.7136,255700,33
"Clients, Products and Business Practices",Product Flaws,43787,43790,2019,61408.12,13509.7864,58500,22
"Execution, Delivery and Process Management",Trade Counterparties,43788,43791,2019,77066.5,18495.96,79100,24
External Fraud,Theft and Fraud,43788,43791,2019,175055.13,38512.1286,175700,22
"Execution, Delivery and Process Management",Trade Counterparties,43789,43792,2019,193684.14,52294.7178,207200,27
External Fraud,Theft and Fraud,43791,43794,2019,697433.55,139486.71,709500,20
Internal Fraud,Unauthorized Activity,43792,43795,2019,34898.19,7328.6199,31900,21
Employment Practices and Workplace Safety,Safe Environment,43794,43797,2019,1533864.48,398804.7648,1538900,26
External Fraud,Theft and Fraud,43798,43800,2019,154526.03,49448.3296,153700,32
External Fraud,Theft and Fraud,43798,43799,2019,132154.47,46254.0645,145900,35
"Execution, Delivery and Process Management",Transaction/Data Management,43798,43799,2019,10765087.47,2153017.494,10783000,20
"Execution, Delivery and Process Management",Reporting and Disclosure,43799,43802,2019,56094.19,16828.257,53900,30
Damage to Physical Assets,Willful Damage,43800,43803,2019,217607.19,65282.157,222700,30
External Fraud,Systems Security,43802,43805,2019,52985.45,15895.635,64100,30
External Fraud,Theft and Fraud,43802,43803,2019,179902.06,64764.7416,181800,36
"Execution, Delivery and Process Management",Customer Intake and Documentation,43802,43805,2019,177173.14,42521.5536,174000,24
"Clients, Products and Business Practices",Advisory Activities,43804,43805,2019,77504.95,31001.98,78000,40
"Execution, Delivery and Process Management",Reporting and Disclosure,43805,43807,2019,38620.29,12358.4928,49200,32
External Fraud,Theft and Fraud,43805,43807,2019,86495.21,24218.6588,83300,28
External Fraud,Theft and Fraud,43805,43806,2019,31976.92,9912.8452,44400,31
External Fraud,Systems Security,43808,43811,2019,180406.43,36081.286,172700,20
"Execution, Delivery and Process Management",Trade Counterparties,43809,43812,2019,21543.15,4739.493,31300,22
Internal Fraud,Theft and Fraud,43811,43814,2019,145905.75,51067.0125,157300,35
"Execution, Delivery and Process Management",Trade Counterparties,43813,43814,2019,567884.51,227153.804,569500,40
"Execution, Delivery and Process Management",Trade Counterparties,43813,43814,2019,310248.09,68254.5798,306400,22
Employment Practices and Workplace Safety,Safe Environment,43814,43815,2019,279409.55,94999.247,279000,34
External Fraud,Theft and Fraud,43814,43817,2019,8946.7,3578.68,21500,40
"Clients, Products and Business Practices","Suitability, Disclosures and Fiduciary",43815,43818,2019,616953.59,246781.436,624300,40
External Fraud,Theft and Fraud,43816,43818,2019,122767.05,35602.4445,139500,29
"Execution, Delivery and Process Management",Reporting and Disclosure,43817,43820,2019,30896.66,10813.831,41700,35
"Execution, Delivery and Process Management",Reporting and Disclosure,43817,43819,2019,226270.85,74669.3805,240000,33
External Fraud,Theft and Fraud,43820,43821,2019,90594.59,35331.8901,100200,39
"Execution, Delivery and Process Management",Reporting and Disclosure,43820,43823,2019,195870.46,58761.138,206600,30
External Fraud,Theft and Fraud,43822,43825,2019,118582.14,33202.9992,133300,28
"Execution, Delivery and Process Management",Reporting and Disclosure,43823,43824,2019,33424.31,11698.5085,37200,35
"Execution, Delivery and Process Management",Reporting and Disclosure,43823,43825,2019,50738.44,18773.2228,48900,37
External Fraud,Systems Security,43823,43826,2019,112527.96,31507.8288,118600,28
"Execution, Delivery and Process Management",Trade Counterparties,43824,43825,2019,745078.26,245875.8258,759000,33
Employment Practices and Workplace Safety,Diversity and Discrimination,43824,43826,2019,257002.61,97660.9918,275900,38
Employment Practices and Workplace Safety,Employee Relations,43827,43828,2019,583.11,128.2842,-5300,22
Internal Fraud,Unauthorized Activity,43827,43829,2019,190330.5,59002.455,194300,31
External Fraud,Theft and Fraud,43833,43836,2020,162538.65,61764.687,173000,38
Employment Practices and Workplace Safety,Diversity and Discrimination,43834,43837,2020,214323.61,53580.9025,224200,25
External Fraud,Theft and Fraud,43834,43837,2020,93890.26,33800.4936,90600,36
"Execution, Delivery and Process Management",Customer Intake and Documentation,43838,43839,2020,393801.49,141768.5364,404600,36
External Fraud,Theft and Fraud,43842,43843,2020,12591.11,4280.9774,14700,34
"Execution, Delivery and Process Management",Trade Counterparties,43843,43846,2020,606331.9,218279.484,613500,36
External Fraud,Systems Security,43843,43846,2020,220785.08,72859.0764,213900,33
"Execution, Delivery and Process Management",Reporting and Disclosure,43845,43846,2020,551.81,176.5792,-5400,32
External Fraud,Theft and Fraud,43852,43855,2020,96009.02,19201.804,95600,20
"Execution, Delivery and Process Management",Vendors and Suppliers,43854,43855,2020,122813.21,38072.0951,132200,31
External Fraud,Theft and Fraud,43855,43856,2020,184788.87,64676.1045,197600,35
"Execution, Delivery and Process Management",Customer/Client Account Management,43856,43858,2020,84325.04,22767.7608,102400,27
External Fraud,Theft and Fraud,43860,43861,2020,509998.62,183599.5032,517700,36
Employment Practices and Workplace Safety,Employee Relations,43863,43866,2020,2793.82,558.764,1000,20
External Fraud,Theft and Fraud,43863,43865,2020,190318.01,43773.1423,198200,23
